feature,story,title,method,url,firstName,lastName,contacts,creationTalentType,currency,currentLocation,industries,jobFunctions,languages,sourcingChannel,additionalInfoId,addressLine1,addressLine2,educations,experiences,photoUrl,projects,resumes,skills,workAuthorization,zipCode
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666136', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666136@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666136', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,3,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '118'}],[{'enumId': '218'}],[{'enumId': '50'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666137', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666137@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666137', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,1,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '121'}],[{'enumId': '156'}],[{'enumId': '49'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666138', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666138@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666138', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,1,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '132'}],[{'enumId': '204'}],[{'enumId': '60'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666139', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666139@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666139', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,3,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '122'}],[{'enumId': '257'}],[{'enumId': '48'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666140', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666140@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666140', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,4,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '133'}],[{'enumId': '235'}],[{'enumId': '49'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666141', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666141@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666141', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,2,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '135'}],[{'enumId': '235'}],[{'enumId': '43'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666142', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666142@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666142', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,4,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '131'}],[{'enumId': '197'}],[{'enumId': '44'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666143', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666143@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666143', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '119'}],[{'enumId': '17'}],[{'enumId': '49'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666144', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666144@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666144', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,1,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '123'}],[{'enumId': '180'}],[{'enumId': '51'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666145', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666145@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666145', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '135'}],[{'enumId': '159'}],[{'enumId': '48'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666146', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666146@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666146', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,1,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '129'}],[{'enumId': '386'}],[{'enumId': '53'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666147', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666147@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666147', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '137'}],[{'enumId': '20'}],[{'enumId': '55'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666148', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666148@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666148', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '139'}],[{'enumId': '386'}],[{'enumId': '63'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666149', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666149@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666149', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,3,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '118'}],[{'enumId': '223'}],[{'enumId': '59'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666150', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666150@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666150', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,1,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '125'}],[{'enumId': '242'}],[{'enumId': '40'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666151', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666151@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666151', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '4'}],[{'enumId': '204'}],[{'enumId': '62'}],LINKEDIN,,,,,,,,,,,
talent,创建候选人,只填必填项,post,/talent/api/v3/talents,atest0311,bulk01,"[{'type': 'PHONE', 'contact': '19356666152', 'sort': 1}, {'type': 'EMAIL', 'contact': '19356666152@163.com', 'sort': 2}, {'type': 'WECHAT', 'contact': '19356666152', 'details': None, 'sort': 3}]",CREATE_WITHOUT_RESUME,0,"{city: null, province: null, country: null, location: ""ca""}",[{'enumId': '130'}],[{'enumId': '14'}],[{'enumId': '64'}],LINKEDIN,,,,,,,,,,,
